x,fx
-4,5.84
-4,5.84
-4,5.84
-3.5,2.09
-3.25,0.40249999999999986
-3.25,0.40249999999999986
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1875,0.0001562499999998579
-3.1874847412109375,0.000058975452557064045
-3.1874771118164062,0.000010338353458649863
